,Formula,Elements,Composition,Symmetry,Crystal system,Density [g/m$^3$],Volume [$\mathring{A}^3$],Bulk modulus[GPa],Shear modulus [GPa],Poisson,Metal,Experimental report
59,Mg5Hg3,"[Element Hg, Element Mg]",Mg5 Hg3,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mcm' number=193 point_group='6/mmm' symprec=0.1 version='1.16.2',hex_,6.982842153963932,344.0030800337208,42.995997810286745,21.8584099615813,0.2826423818864823,True,True
60,Sr3(AlSi)2,"[Element Al, Element Si, Element Sr]",Sr3 Al2 Si2,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Immm' number=71 point_group='mmm' symprec=0.1 version='1.16.2',ortho,3.1651760501486588,195.68302899673662,43.106479141906064,31.036027677134257,0.20968222700834369,True,True
61,Ba(MgGe)2,"[Element Ba, Element Ge, Element Mg]",Ba1 Mg2 Ge2,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,4.433259764076941,124.06193124046918,43.2080521551361,33.41631021335296,0.1925642673803817,True,True
62,MgAs4,"[Element As, Element Mg]",Mg1 As4,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4_12_12' number=92 point_group='422' symprec=0.1 version='1.16.2',tet,4.581264597231103,469.7396236555229,43.227628197354264,25.1397560206831,0.2564333363532609,False,True
63,V2O5,"[Element O, Element V]",V2 O5,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pmmn' number=59 point_group='mmm' symprec=0.1 version='1.16.2',ortho,3.4375305059565995,175.71849611799263,43.29603486306968,24.462443392403728,0.26227058751371085,False,True
64,TaCuS3,"[Element Cu, Element S, Element Ta]",Ta1 Cu1 S3,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',ortho,5.6865816906659115,397.93832257772516,43.29685628394266,25.095194617733963,0.25712096979801824,False,True
65,K(CoS)2,"[Element Co, Element K, Element S]",K1 Co2 S2,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,3.984894438188348,92.13201901773023,43.34956916129586,30.75557009890175,0.21310865704675627,True,True
66,CaSn3,"[Element Ca, Element Sn]",Ca1 Sn3,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,6.171309698438806,106.60927657963599,43.35358960588354,26.05440055956716,0.24966173373633735,True,True
67,Sr2BrN,"[Element Br, Element N, Element Sr]",Sr2 Br1 N1,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',trig,4.540104994267548,98.44161153036073,43.379906752865466,26.812423947641427,0.24375223655043438,False,True
68,Ba(ZnSn)2,"[Element Ba, Element Sn, Element Zn]",Ba1 Zn2 Sn2,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4/nmm' number=129 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,6.512187701812145,257.8274680172436,43.57922766269641,23.04969042542466,0.27517962059752044,True,True
69,BaAlGe,"[Element Al, Element Ba, Element Ge]",Ba1 Al1 Ge1,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P-6m2' number=187 point_group='-6m2' symprec=0.1 version='1.16.2',hex_,4.587281021346623,85.77244413152933,43.63479690162747,33.84953787245238,0.1918173226755845,True,True
70,NiF3,"[Element F, Element Ni]",Ni1 F3,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3c' number=167 point_group='-3m' symprec=0.1 version='1.16.2',trig,4.538486231041057,84.65618094752699,43.64863966134355,39.98175887515278,0.1491344230269316,True,False
71,Ca(ZnSb)2,"[Element Ca, Element Sb, Element Zn]",Ca1 Zn2 Sb2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',trig,5.377244839586339,127.97519517021729,43.75039551757958,19.456622861503604,0.3063475648296608,True,True
72,Cs(FeAs)2,"[Element As, Element Cs, Element Fe]",Cs1 Fe2 As2,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,6.068220491290031,107.93622146675607,43.774347118180856,26.325452246585346,0.24951756615075266,True,True
